patron_id,preferred_species,preferred_age_min,preferred_age_max,preferred_weight_min,preferred_weight_max,preferred_sex,activity_level,temperament_preference,size_preference,bonded_pair_ok,first_time_owner,has_children,living_situation,pet_id,match
P001,Cat,1,3,8,12,No_Preference,Low,Calm,Small,Yes,Yes,No,Apartment,SEQ-A-61715,1
P001,Cat,1,3,8,12,No_Preference,Low,Calm,Small,Yes,Yes,No,Apartment,SEQ-A-5969,0
P001,Cat,1,3,8,12,No_Preference,Low,Calm,Small,Yes,Yes,No,Apartment,SEQ-A-61625,0
P001,Cat,1,3,8,12,No_Preference,Low,Calm,Small,Yes,Yes,No,Apartment,SEQ-A-61717,0
P002,Dog,1,2,60,80,Male,High,Active,Large,No,No,Yes,House_Large_Yard,SEQ-A-5969,1
P002,Dog,1,2,60,80,Male,High,Active,Large,No,No,Yes,House_Large_Yard,SEQ-A-61715,0
P002,Dog,1,2,60,80,Male,High,Active,Large,No,No,Yes,House_Large_Yard,SEQ-A-61717,0
P002,Dog,1,2,60,80,Male,High,Active,Large,No,No,Yes,House_Large_Yard,SEQ-A-61696,0
P003,Cat,0,1,3,5,Male,Low,No_Preference,Small,No,Yes,No,Apartment,SEQ-A-61717,1
P003,Cat,0,1,3,5,Male,Low,No_Preference,Small,No,Yes,No,Apartment,SEQ-A-61718,1
P003,Cat,0,1,3,5,Male,Low,No_Preference,Small,No,Yes,No,Apartment,SEQ-A-5969,0
P003,Cat,0,1,3,5,Male,Low,No_Preference,Small,No,Yes,No,Apartment,SEQ-A-61625,0
P004,Dog,4,7,70,85,Male,Medium,Gentle,Large,No,No,No,House_Small_Yard,SEQ-A-61625,1
P004,Dog,4,7,70,85,Male,Medium,Gentle,Large,No,No,No,House_Small_Yard,SEQ-A-61623,1
P004,Dog,4,7,70,85,Male,Medium,Gentle,Large,No,No,No,House_Small_Yard,SEQ-A-61717,0
P004,Dog,4,7,70,85,Male,Medium,Gentle,Large,No,No,No,House_Small_Yard,SEQ-A-61663,0
P005,Cat,1,2,7,10,Female,Medium,Friendly,Small,No,Yes,Yes,House_Small_Yard,SEQ-A-61711,1
P005,Cat,1,2,7,10,Female,Medium,Friendly,Small,No,Yes,Yes,House_Small_Yard,SEQ-A-61715,1
P005,Cat,1,2,7,10,Female,Medium,Friendly,Small,No,Yes,Yes,House_Small_Yard,SEQ-A-5969,0
P005,Cat,1,2,7,10,Female,Medium,Friendly,Small,No,Yes,Yes,House_Small_Yard,SEQ-A-61625,0
P006,Dog,1,2,10,20,Male,Medium,No_Preference,Small,No,Yes,Yes,Apartment,SEQ-A-61663,1
P006,Dog,1,2,10,20,Male,Medium,No_Preference,Small,No,Yes,Yes,Apartment,SEQ-A-61675,0
P006,Dog,1,2,10,20,Male,Medium,No_Preference,Small,No,Yes,Yes,Apartment,SEQ-A-5969,0
P006,Dog,1,2,10,20,Male,Medium,No_Preference,Small,No,Yes,Yes,Apartment,SEQ-A-61625,0
P007,Cat,6,8,10,12,Female,Low,No_Preference,Small,No,No,No,Apartment,SEQ-A-6138,1
P007,Cat,6,8,10,12,Female,Low,No_Preference,Small,No,No,No,Apartment,SEQ-A-61631,1
P007,Cat,6,8,10,12,Female,Low,No_Preference,Small,No,No,No,Apartment,SEQ-A-61717,0
P007,Cat,6,8,10,12,Female,Low,No_Preference,Small,No,No,No,Apartment,SEQ-A-5969,0
P008,Dog,1,3,40,50,Male,High,Active,Medium,No,No,Yes,House_Large_Yard,SEQ-A-61680,1
P008,Dog,1,3,40,50,Male,High,Active,Medium,No,No,Yes,House_Large_Yard,SEQ-A-61728,0
P008,Dog,1,3,40,50,Male,High,Active,Medium,No,No,Yes,House_Large_Yard,SEQ-A-61696,0
P008,Dog,1,3,40,50,Male,High,Active,Medium,No,No,Yes,House_Large_Yard,SEQ-A-61717,0
P009,Cat,1,2,8,10,No_Preference,Low,Shy,Small,Yes,Yes,No,Apartment,SEQ-A-6029,1
P009,Cat,1,2,8,10,No_Preference,Low,Shy,Small,Yes,Yes,No,Apartment,SEQ-A-6030,1
P009,Cat,1,2,8,10,No_Preference,Low,Shy,Small,Yes,Yes,No,Apartment,SEQ-A-61714,1
